"time (s)","wave_55()"
2.801E-7,0.8336
2.801E-7,0.8336
2.801E-7,0.8336
2.801E-7,0.8336
2.801E-7,0.8336
2.801E-7,0.8336
2.801E-7,0.8336
2.801E-7,0.8336
2.801E-7,0.8336
2.801E-7,0.8336
2.802E-7,0.8336
2.802E-7,0.8336
2.802E-7,0.8336
2.802E-7,0.8336
2.802E-7,0.8336
2.802E-7,0.8336
2.802E-7,0.8336
2.802E-7,0.8336
2.802E-7,0.8336
2.802E-7,0.8336
2.802E-7,0.8336
2.802E-7,0.8336
2.802E-7,0.8336
2.802E-7,0.8336
2.802E-7,0.8336
2.802E-7,0.8336
2.802E-7,0.8336
2.802E-7,0.8336
2.803E-7,0.8336
2.803E-7,0.8336
2.803E-7,0.8336
2.803E-7,0.8336
2.803E-7,0.8336
2.803E-7,0.8336
2.803E-7,0.8336
2.803E-7,0.8336
2.803E-7,0.8336
2.803E-7,0.8336
2.803E-7,0.8336
2.803E-7,0.8336
2.803E-7,0.8336
2.803E-7,0.8336
2.803E-7,0.8336
2.803E-7,0.8336
2.803E-7,0.8336
2.803E-7,0.8336
2.803E-7,0.8336
2.803E-7,0.8336
2.803E-7,0.8336
2.803E-7,0.8336
2.803E-7,0.8336
2.804E-7,0.8336
2.804E-7,0.8336
2.804E-7,0.8336
2.804E-7,0.8336
2.804E-7,0.8336
2.804E-7,0.8336
2.804E-7,0.8336
2.804E-7,0.8336
2.804E-7,0.8336
2.804E-7,0.8336
2.804E-7,0.8336
2.804E-7,0.8336
2.804E-7,0.8336
2.804E-7,0.8336
2.804E-7,0.8336
2.804E-7,0.8336
2.804E-7,0.8336
2.804E-7,0.8336
2.804E-7,0.8336
2.804E-7,0.8336
2.804E-7,0.8336
2.804E-7,0.8336
2.804E-7,0.8336
2.804E-7,0.8336
2.805E-7,0.8336
2.805E-7,0.8336
2.805E-7,0.8336
2.805E-7,0.8336
2.805E-7,0.8336
2.805E-7,0.8336
2.805E-7,0.8336
2.805E-7,0.8336
2.805E-7,0.8336
2.805E-7,0.8336
2.805E-7,0.8336
2.805E-7,0.8336
2.805E-7,0.8336
2.805E-7,0.8336
2.805E-7,0.8336
2.805E-7,0.8336
2.805E-7,0.8336
2.805E-7,0.8336
2.805E-7,0.8336
2.805E-7,0.8336
2.805E-7,0.8336
2.805E-7,0.8336
2.805E-7,0.8336
2.806E-7,0.8336
2.806E-7,0.8336
2.806E-7,0.8336
2.806E-7,0.8336
2.806E-7,0.8336
2.806E-7,0.8336
2.806E-7,0.8336
2.806E-7,0.8336
2.806E-7,0.8336
2.806E-7,0.8336
2.806E-7,0.8336
2.806E-7,0.8336
2.806E-7,0.8336
2.806E-7,0.8336
2.806E-7,0.8336
2.806E-7,0.8336
2.806E-7,0.8336
2.806E-7,0.8336
2.806E-7,0.8336
2.806E-7,0.8336
2.806E-7,0.8336
2.806E-7,0.8336
2.806E-7,0.8336
2.806E-7,0.8336
2.807E-7,0.8336
2.807E-7,0.8336
2.807E-7,0.8336
2.807E-7,0.8336
2.807E-7,0.8336
2.807E-7,0.8336
2.807E-7,0.8336
2.807E-7,0.8336
2.807E-7,0.8336
2.807E-7,0.8336
2.807E-7,0.8336
2.807E-7,0.8336
2.807E-7,0.8336
2.807E-7,0.8336
2.807E-7,0.8336
2.807E-7,0.8336
2.807E-7,0.8336
2.807E-7,0.8336
2.808E-7,0.8336
2.808E-7,0.8336
2.808E-7,0.8336
2.808E-7,0.8336
2.808E-7,0.8336
2.808E-7,0.8336
2.808E-7,0.8336
2.808E-7,0.8336
2.808E-7,0.8336
2.808E-7,0.8336
2.808E-7,0.8336
2.808E-7,0.8336
2.808E-7,0.8336
2.808E-7,0.8336
2.808E-7,0.8336
2.808E-7,0.8336
2.808E-7,0.8336
2.808E-7,0.8336
2.808E-7,0.8336
2.808E-7,0.8336
2.808E-7,0.8336
2.808E-7,0.8336
2.808E-7,0.8336
2.809E-7,0.8336
2.809E-7,0.8336
2.809E-7,0.8336
2.809E-7,0.8336
2.809E-7,0.8336
2.809E-7,0.8336
2.809E-7,0.8336
2.809E-7,0.8336
2.809E-7,0.8336
2.809E-7,0.8336
2.809E-7,0.8336
2.809E-7,0.8336
2.809E-7,0.8336
2.809E-7,0.8336
2.809E-7,0.8336
2.809E-7,0.8336
2.809E-7,0.8336
2.809E-7,0.8336
2.809E-7,0.8336
2.809E-7,0.8336
2.809E-7,0.8336
2.809E-7,0.8336
2.809E-7,0.8336
2.809E-7,0.8336
2.81E-7,0.8336
2.81E-7,0.8336
2.81E-7,0.8336
2.81E-7,0.8336
2.81E-7,0.8336
2.81E-7,0.8336
2.81E-7,0.8336
2.81E-7,0.8336
2.81E-7,0.8336
2.81E-7,0.8336
2.81E-7,0.8336
2.81E-7,0.8336
2.81E-7,0.8336
2.81E-7,0.8336
2.81E-7,0.8336
2.81E-7,0.8336
2.81E-7,0.8336
2.81E-7,0.8336
2.81E-7,0.8336
2.81E-7,0.8336
2.81E-7,0.8336
2.81E-7,0.8336
2.81E-7,0.8336
2.811E-7,0.8336
2.811E-7,0.8336
2.811E-7,0.8336
2.811E-7,0.8336
2.811E-7,0.8336
2.811E-7,0.8336
2.811E-7,0.8336
2.811E-7,0.8336
2.811E-7,0.8336
2.811E-7,0.8336
2.811E-7,0.8336
2.811E-7,0.8336
2.811E-7,0.8336
2.811E-7,0.8336
2.811E-7,0.8336
2.811E-7,0.8336
2.811E-7,0.8336
2.811E-7,0.8336
2.811E-7,0.8336
2.811E-7,0.8336
2.811E-7,0.8336
2.811E-7,0.8336
2.811E-7,0.8336
2.811E-7,0.8336
2.812E-7,0.8336
2.812E-7,0.8336
2.812E-7,0.8336
2.812E-7,0.8336
2.812E-7,0.8336
2.812E-7,0.8336
2.812E-7,0.8336
2.812E-7,0.8336
2.812E-7,0.8336
2.812E-7,0.8336
2.812E-7,0.8336
2.812E-7,0.8336
2.812E-7,0.8336
2.812E-7,0.8336
2.812E-7,0.8336
2.812E-7,0.8336
2.812E-7,0.8336
2.812E-7,0.8336
2.813E-7,0.8336
2.813E-7,0.8336
2.813E-7,0.8336
2.813E-7,0.8336
2.813E-7,0.8336
2.813E-7,0.8336
2.813E-7,0.8336
2.813E-7,0.8336
2.813E-7,0.8336
2.813E-7,0.8336
2.813E-7,0.8336
2.813E-7,0.8336
2.813E-7,0.8336
2.813E-7,0.8336
2.813E-7,0.8336
2.813E-7,0.8336
2.813E-7,0.8336
2.813E-7,0.8336
2.813E-7,0.8336
2.813E-7,0.8336
2.813E-7,0.8336
2.813E-7,0.8336
2.813E-7,0.8336
2.814E-7,0.8336
2.814E-7,0.8336
2.814E-7,0.8336
2.814E-7,0.8336
2.814E-7,0.8336
2.814E-7,0.8336
2.814E-7,0.8346
2.814E-7,0.8357
2.814E-7,0.8357
2.814E-7,0.8357
2.814E-7,0.8357
2.814E-7,0.8357
2.814E-7,0.8357
2.814E-7,0.8357
2.814E-7,0.8357
2.814E-7,0.8357
2.814E-7,0.8357
2.814E-7,0.8357
2.814E-7,0.8357
2.814E-7,0.8357
2.814E-7,0.8357
2.814E-7,0.8357
2.814E-7,0.8357
2.814E-7,0.8367
2.814E-7,0.8379
2.814E-7,0.8379
2.815E-7,0.8379
2.815E-7,0.8379
2.815E-7,0.8379
2.815E-7,0.8379
2.815E-7,0.8379
2.815E-7,0.8379
2.815E-7,0.8379
2.815E-7,0.8379
2.815E-7,0.8379
2.815E-7,0.8379
2.815E-7,0.8379
2.815E-7,0.8379
2.815E-7,0.8379
2.815E-7,0.8379
2.815E-7,0.8379
2.815E-7,0.8379
2.815E-7,0.8379
2.815E-7,0.8379
2.815E-7,0.8379
2.815E-7,0.8379
2.815E-7,0.8379
2.815E-7,0.8379
2.815E-7,0.8379
2.816E-7,0.8379
2.816E-7,0.8379
2.816E-7,0.8379
2.816E-7,0.8379
2.816E-7,0.8379
2.816E-7,0.8379
2.816E-7,0.8379
2.816E-7,0.8379
2.816E-7,0.8379
2.816E-7,0.8379
2.816E-7,0.8379
2.816E-7,0.8379
2.816E-7,0.8379
2.816E-7,0.8379
2.816E-7,0.8379
2.816E-7,0.8379
2.816E-7,0.8379
2.816E-7,0.8379
2.816E-7,0.8379
2.816E-7,0.8379
2.816E-7,0.8379
2.816E-7,0.8379
2.816E-7,0.8379
2.816E-7,0.8379
2.817E-7,0.8379
2.817E-7,0.8379
2.817E-7,0.8379
2.817E-7,0.8379
2.817E-7,0.8379
2.817E-7,0.8379
2.817E-7,0.8379
2.817E-7,0.8379
2.817E-7,0.8379
2.817E-7,0.8379
2.817E-7,0.8379
2.817E-7,0.8379
2.817E-7,0.8379
2.817E-7,0.8379
2.817E-7,0.8379
2.817E-7,0.8379
2.817E-7,0.8379
2.817E-7,0.8379
2.818E-7,0.8379
2.818E-7,0.8379
2.818E-7,0.8379
2.818E-7,0.8379
2.818E-7,0.8379
2.818E-7,0.8379
2.818E-7,0.8379
2.818E-7,0.8379
2.818E-7,0.8379
2.818E-7,0.8379
2.818E-7,0.8379
2.818E-7,0.8379
2.818E-7,0.8379
2.818E-7,0.8379
2.818E-7,0.8379
2.818E-7,0.8379
2.818E-7,0.8379
2.818E-7,0.8379
2.818E-7,0.8379
2.818E-7,0.8379
2.818E-7,0.8379
2.818E-7,0.8379
2.818E-7,0.8379
2.819E-7,0.8379
2.819E-7,0.8379
2.819E-7,0.8379
2.819E-7,0.8379
2.819E-7,0.8379
2.819E-7,0.8379
2.819E-7,0.8379
2.819E-7,0.8379
2.819E-7,0.8379
2.819E-7,0.8379
2.819E-7,0.8379
2.819E-7,0.8379
2.819E-7,0.8379
2.819E-7,0.8379
2.819E-7,0.8379
2.819E-7,0.8379
2.819E-7,0.8379
2.819E-7,0.8379
2.819E-7,0.8379
2.819E-7,0.8379
2.819E-7,0.8379
2.819E-7,0.8379
2.819E-7,0.8379
2.819E-7,0.8379
2.82E-7,0.8379
2.82E-7,0.8379
2.82E-7,0.8379
2.82E-7,0.8379
2.82E-7,0.8379
2.82E-7,0.8379
2.82E-7,0.8379
2.82E-7,0.8379
2.82E-7,0.8379
2.82E-7,0.8379
2.82E-7,0.8379
2.82E-7,0.8379
2.82E-7,0.8379
2.82E-7,0.8379
2.82E-7,0.8379
2.82E-7,0.8379
2.82E-7,0.8379
2.82E-7,0.8379
